ID,location_name,lat,long
6913771,Abanda,15.06808,-0.59805
2363251,Abanga,13.32429,0.31151
11980339,Abassi,12.27728,-1.13662
6874881,Abaye,13.4408,-3.9019
2363248,Abra,13.75724,-1.47784
2363249,Abra,13.0914,-1.34752
2363247,Absendo,12.11225,-1.77616
2570111,Absouma,12.42612,-1.4372
2363246,Absouya,12.6406,-1.05426
2363250,Abérékui,12.5,-3.41667
6913745,Adaboun,15.0635,-0.2432
6913760,Adartiguéfouwa,15.00779,-0.3143
2363245,Addo,14.55032,-1.61277
2363243,Adiora,14.96543,-0.14993
2363244,Adiéréa,14.6254,-0.82004
2363241,Adjarara,14.9417,-0.1836
12501062,Adjoan,11.77571,-2.37473
2363240,Adoudji,13.82906,-0.36104
2363239,Adoumboué,11.65,-3.46667
2363238,Afini,12.34788,1.87889
2363237,Agaisa,14.80515,-0.11522
2363236,Agamor,14.92354,0.02715
12238245,Agbana,11.77969,1.68796
2363235,Agora,14.72435,-0.1826
2363234,Ahkoudèwe,12.48848,1.82605
2355546,Aiguille de Sindou,10.66667,-5.15
2363232,Ainé,14.35404,0.29877
2363233,Ainé,14.29458,0.2744
2363231,Akoundèl,13.95459,0.35773
2363229,Aladiou,14.0417,-0.93072
2363228,Alaga,13.01429,-0.96121
2363226,Alalé,13.8811,-1.44242
2363227,Alalé,13.75982,-0.04427
2363225,Alamini,13.87512,-1.56256
2363224,Alamou,13.43931,-1.11706
2363223,Alana,10.63333,-5.1
2363222,Alapéra,9.78333,-3.05
2363220,Alfiré,13.21715,-0.62647
7054471,Alga,13.60888,-1.54687
6913774,Alibonès,15.05291,-0.44073
12122222,Alidougou,9.66882,-4.29263
2363219,Aligaga,13.76363,0.40064
2363218,Alkoma,14.26117,0.06946
2363217,Alkousiri,13.02924,0.00049
2363230,Alla Bamguél,14.33101,-1.19873
2363216,Allakoum,14.43439,-0.27317
2363221,Allawallam,14.19202,-1.70199
2363215,Almandé,13.01589,0.22408
2363214,Alobiga,11.0,-0.91667
2363213,Alondi,12.62627,1.46091
2363212,Alondigwéna,12.03333,0.93333
2363211,Alora,14.06199,-0.84313
2363210,Alouba,12.05,0.96667
2363209,Amadi Saguidji,14.4538,-1.69007
6860076,Amarasindé,14.34069,0.32848
2363193,Ambou Waga,12.93333,0.91667
6873964,Amdama,14.04813,-1.3934
2363205,Aminbiri,9.93333,-3.1
10121217,Amiso Hotel,12.36647,-1.52749
2363204,Amissia,13.66288,-0.28309
2363203,Amvo,14.12673,-0.85813
2363207,Améné,13.97401,-2.5429
2363206,Aménékui,12.48333,-3.98333
2363202,Anaga,12.43676,2.23114
12440366,Anago,11.18763,-0.10632
2363201,Anakatan,14.96611,0.20869
2363200,Anbarkoura,10.06667,-3.18333
2363197,Andem,12.7676,-1.23889
2363198,Andemtenga,12.32417,-0.30917
2363196,Andeulay,13.07924,0.64816
2363199,Andékanda,13.96739,-2.26554
2363194,Ankouma,13.73911,-0.75442
2363192,Ansolma,13.67725,-2.18296
2363191,Ansouara,12.93333,-0.65
2363190,Ansouri,13.31148,-1.76198
2363189,Antia,13.44155,-0.06142
2363188,Antoa,12.91667,-0.96667
2363187,Antyaga,12.23314,1.90854
2363195,Anékui,11.81667,-3.68333
2363186,Aolo Bélé,14.26418,-1.05462
2363185,Aoréma,13.66976,-2.33739
2363184,Aoura,13.15056,0.93213
2363183,Aouréma,13.3402,-3.92
2363182,Ara,14.31189,-0.92733
2363180,Arakora,10.2,-3.33333
2363179,Aranboura,10.03333,-3.1
2363181,Araé,14.59747,-1.40042
11205731,Arbinda Department,14.22528,-0.85972
2363176,Arbollé,12.85,-2.05
2363178,Arbèté,13.83248,-2.57593
2363175,Ardiaradiay,14.35034,-0.58836
2363177,Aribilé,14.08089,-1.09409
2363174,Aribinda,14.22963,-0.86537
7730466,Aribinda Airport,14.21542,-0.89569
2363173,Aribinda Zéno,14.2804,-0.8189
2363172,Ariblana,10.91667,-5.06667
2363171,Arly,11.58333,1.46667
7730461,Arly Airport,11.597,1.483
2363169,Arma,13.65723,-0.83943
6873926,Armédji Tifouga,14.6478,-1.541
2363168,Arofo,13.13474,-1.38158
2363167,Arouesma,13.09009,-1.27556
2363166,Arwaskoy,14.8548,0.1824
2363165,Asidim,14.46375,-0.28178
6913767,Asseddi,15.0182,-0.5338
2363164,Assinga,14.47475,-0.35223
2363163,Assio,11.66667,-3.13333
2363162,Assiopo,11.31667,-2.08333
2363160,Attoum,10.63333,-2.98333
2363158,Atyoungbana,12.05,0.93333
2363159,Atyéri,12.88333,0.25
2363157,Avogonia,11.0,-1.13333
2363156,Ayagorou,14.55338,-0.71884
2363155,Ayaraba,12.79137,-1.06193
2363154,Ayoubakolon,12.6215,-4.0843
10115205,Azalai Hotel Independance,12.36649,-1.51663
6913765,Azarzi,15.04344,-0.57044
2363153,Aziga,11.86667,-2.36667
10629046,BICIAB // Agence Prestige,12.36259,-1.51819
10629040,BICIAB // Banfora,10.64225,-4.76269
10629050,BICIAB // Bobo Dioulasso,11.17516,-4.30162
10629065,BICIAB // Bobo2,11.1664,-4.24132
10629057,BICIAB // Dédougou,12.46281,-3.46082
10629063,BICIAB // Fada Ngourma,12.05989,0.36019
10629032,BICIAB // Gounghin,12.35921,-1.54273
10629060,BICIAB // Koudougou,12.25165,-2.36356
10629059,BICIAB // Koupéla,12.18148,-0.35371
10629061,BICIAB // Loudun,12.36492,-1.52008
10629066,BICIAB // Ouaga 2000,12.31428,-1.52901
10629056,BICIAB // Ouahigouya,13.57333,-2.41734
10629064,BICIAB // Pissy,12.34227,-1.57276
10629037,BICIAB // Pouytenga,12.24591,-0.42954
10629068,BICIAB // Tampouy,12.38963,-1.57645
10629062,BICIAB // Tenkogodo,11.7817,-0.36808
