ID,location_name,lat,long
2282318,Pouéné,9.72908,-2.7866
2285251,Léraba Occidentale,10.28333,-5.11667
2287216,Kéléouoro,9.80748,-4.05023
2294066,White Volta,8.70194,-0.99056
2298457,Issana Bouga,10.91667,-1.18333
2353158,Zyonguen,12.36667,-0.45
2353159,Zyiliwèlè,12.38333,-2.73333
2353160,Zyanko,12.78333,-0.41667
2353161,Zouta,13.14908,-1.28197
2353162,Zourtenga,12.95741,-1.28745
2353163,Zourma-Kita,11.39418,-0.79273
2353164,Zouri,11.65,-1.28333
2353165,Zoura,13.28261,-1.47644
2353166,Zoungwa,13.21895,-1.97142
2353167,Zoungou,12.14441,-0.53169
2353168,Zoungo,13.28675,-1.14636
2353169,Zoundweogo Province,11.58333,-1.0
2353170,Zoundri,12.42718,-1.90874
2353171,Zoundi,12.73972,-1.51522
2353172,Zounara,14.0603,-0.9666
2353173,Zoumbéko,11.1,-0.11667
2353174,Zoumbara,12.88333,-3.15
2353175,Zouma,13.33543,-2.05511
2353176,Zouma,12.66667,-2.91667
2353177,Zouma,12.59733,-1.60221
2353178,Zoum,12.76667,-3.98333
2353179,Zouloumtenga,12.85,-0.98333
2353180,Zoulougou,12.11667,-1.98333
2353181,Zouli,12.03333,-0.43333
2353182,Zoula,12.25,-2.46667
2353183,Zoukoundougou,13.47294,-1.82887
2353184,Zougountenga,13.43528,-0.61691
2353185,Zougoungo,13.0482,-2.2187
2353186,Zongouma,13.91409,-2.24711
2353187,Zougouma,13.56335,-2.51996
2353188,Zougo,12.8,-2.63333
2353189,Zoudounga,13.76135,-2.34125
2353190,Zouandoma,13.315,-2.13058
2353191,Zorogo,12.25,-0.28333
2353192,Zoro,11.1,-2.05
2353193,Zorkoum,13.14888,-1.16584
2353194,Zori,11.3,-3.95
2353195,Zorgongo,12.26667,-0.8
2353196,Zorgo,13.06589,-0.66919
2353197,Zorgo,12.24922,-0.61527
2353198,Zorgo,11.7,-1.33333
2353199,Zorga,13.02002,-0.66817
2353200,Zore,12.28333,-0.45
2353201,Zorbo,13.5327,-0.97824
2353202,Zoongo,12.85,-0.58333
2353203,Zinzour-Polo,10.16785,-2.89802
2353204,Zontibé,13.41516,-1.25175
2353205,Zonsé,11.37,-0.615
2353206,Zono,10.41667,-3.56667
2353207,Zonkom,14.60803,0.04339
2353208,Zonkin,12.98639,-0.9914
2353209,Zongpiguen,12.25,-0.78333
2353210,Zongoy,14.46808,-0.11281
2353211,Zongowaétan,13.79124,0.54774
2353212,Zongopika,12.21667,-0.63333
2353213,Zongo,13.4246,-1.22507
2353214,Zongo,13.22745,-2.37596
2353215,Zongo,12.34595,-1.59856
2353216,Zonesso,11.16497,-4.17687
2353217,Zoner,11.21667,-2.83333
2353218,Zonankui,12.68333,-3.58333
2353219,Zon,13.72901,-1.61531
2353220,Zon,11.28333,-1.4
2353221,Zomouna,11.2,-2.46667
2353222,Zomnogo,13.25112,-0.45782
2353223,Zomnogo,12.61667,-0.38333
2353224,Zomkalga,13.45749,-1.88202
2353225,Zomkalga,13.18893,-1.48445
2353226,Zom,13.82785,-2.40367
2353227,Zolo,12.8,-2.56667
2353228,Zolo,10.81667,-3.05
2353229,Zogoré,13.40169,-2.59244
2353230,Zogbéga,12.86667,-2.1
2353231,Zoétgomdé,12.53333,-2.2
2353232,Zodoum,10.98333,-3.03333
2353233,Zoamba,12.76667,-0.83333
2353234,Zoaga,11.03806,-0.59028
2353235,Zizon,12.8,-2.26667
2353236,Zizi,12.96667,-2.93333
2353237,Zitoessin,13.07456,-2.39649
2353238,Zitenga,12.74846,-1.30989
2353239,Zisségré,12.66667,-0.38333
2353240,Ziré,13.27328,-2.11149
2353241,Zipélé,12.77965,-1.73737
2353242,Zipélaga,11.06667,-0.48333
2353243,Ziou,11.03611,-0.77917
2353244,Zio,11.91667,-1.7
2353245,Zinyé,12.25,-0.6
2353246,Zintio,11.31667,-3.2
2353247,Zintenga,11.83333,-0.76667
2353248,Zinou,11.86667,-2.28333
2353249,Zinkui,11.98333,-3.21667
2353250,Zinka Folapouo,10.13333,-2.91667
2353251,Zinka,10.13333,-2.91667
2353252,Ziniguisé,12.11667,-2.11667
2353253,Zinigma,13.40905,-1.71803
2353254,Zinigen,13.0,-2.28333
2353255,Zinibéogo,13.76769,-0.74324
2353256,Zinibéogo,13.86623,-0.73761
2353257,Ziniaré,12.58186,-1.2971
2353258,Zinguina,11.90347,-4.96788
2353259,Zingédagen,12.18333,-2.1
2353260,Zinékwé,11.91667,-1.31667
2353261,Zinedi,9.96667,-2.8
2353262,Zindiguessé,13.28604,-2.37295
2353263,Zinaziélla,11.23333,-0.65
2353264,Zinado,12.18333,-0.66667
2353265,Zinab,12.78333,-0.98333
2353266,Zina,12.01667,-3.4
2353267,Saben,12.85233,-1.79751
2353268,Sabsin,12.10507,-1.55127
2353269,Zimsa,13.31084,-1.09723
2353270,Zimou,13.08537,-2.9114
2353271,Zimba,13.5048,-2.43669
2353272,Zimkouri,12.85,-0.51667
2353273,Zimkorom,12.4,-0.16667
2353274,Zimiouzou,12.71667,-2.2
2353275,Zimidou,13.18678,-1.2623
2353276,Zimidi,12.8,-2.7
2353277,Zimidem,12.61667,-2.16667
2353278,Zimasso,12.66667,-3.61667
2353279,Zilatéoun,9.95,-2.85
2353280,Zilaoro,13.03309,-1.88629
2353281,Zikomtenga,12.2394,-1.4552
2353282,Zikiémé,12.93333,-0.98333
2353283,Ziguibéri,14.70817,-0.03178
2353284,Ziguénoguen,12.33333,-0.71667
2353285,Zigo,12.39247,-1.78693
2353286,Zigla Polosé,11.7,-0.63333
2353287,Zigla Pakala,11.75,-0.58333
2353288,Zigla Koulpélé,11.71667,-0.63333
2353289,Zigla,11.65,-1.01667
2353290,Forêt Classée de Ziga,12.47106,-1.08644
